Assembly	pos_sorted_bam_filtered.long
# contigs (>= 0 bp)	9508
# contigs (>= 1000 bp)	67
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2783972
Total length (>= 1000 bp)	86587
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2513
Largest contig	3116
Total length	1160941
Reference length	1556
GC (%)	43.83
Reference GC (%)	50.90
N50	447
NG50	3116
N75	355
NG75	3116
L50	882
LG50	1
L75	1619
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2511 + 0 part
Unaligned length	1160229
Genome fraction (%)	37.082
Duplication ratio	1.234
# N's per 100 kbp	0.00
# mismatches per 100 kbp	1039.86
# indels per 100 kbp	346.62
Largest alignment	365
Total aligned length	571
NGA50	-
